SDL
	version: 2.0.9
Network
	Initialized.
OpenAL
	vendor: Apple Computer Inc.
	device: Built-in Output
	renderer: Software
	version: 1.1
Render
	ppm: 32.000000
Physics
	bodies: 300
	circle shapes: 100
	segment shapes: 100
	polygon shapes: 200
	pivot joints: 100
	gear joints: 100
	damped springs: 100
OpenGL
	vendor: NVIDIA Corporation
	renderer: NVIDIA GeForce GT 650M OpenGL Engine
	version: 2.1 NVIDIA-12.0.21 355.11.10.50.10.103
	glsl: 1.20
Initializing cpSpace - Chipmunk v7.0.1 (Debug Enabled)
Compile with -DNDEBUG defined to disable debug mode and runtime assertion checks
TextureFactory - Unable to find 'res/sprite_atlas.png' in cache.
TextureFactory - Unable to find 'res/textures/white_box_placeholder.png' in cache.
System - Controller added: 0, 0, PS4 Controller
1 - copy: 308893, iterate: 0, total: 308893
1 - copy: 222133, iterate: 0, total: 222133
1 - copy: 250477, iterate: 0, total: 250477
1 - copy: 971, iterate: 0, total: 971
1 - copy: 139477, iterate: 0, total: 139477
1 - copy: 854, iterate: 0, total: 854
1 - copy: 256007, iterate: 0, total: 256007
1 - copy: 961, iterate: 0, total: 961
1 - copy: 151418, iterate: 0, total: 151418
1 - copy: 859, iterate: 0, total: 859
1 - copy: 203034, iterate: 0, total: 203034
1 - copy: 37275, iterate: 0, total: 37275
1 - copy: 403537, iterate: 0, total: 403537
1 - copy: 132781, iterate: 0, total: 132781
1 - copy: 992, iterate: 0, total: 992
1 - copy: 298362, iterate: 0, total: 298362
1 - copy: 37374, iterate: 0, total: 37374
1 - copy: 154686, iterate: 0, total: 154686
1 - copy: 296049, iterate: 0, total: 296049
1 - copy: 909, iterate: 0, total: 909
1 - copy: 237421, iterate: 0, total: 237421
1 - copy: 670, iterate: 0, total: 670
1 - copy: 392295, iterate: 0, total: 392295
1 - copy: 565, iterate: 0, total: 565
1 - copy: 99306, iterate: 0, total: 99306
1 - copy: 210170, iterate: 0, total: 210170
1 - copy: 132483, iterate: 0, total: 132483
1 - copy: 860, iterate: 0, total: 860
1 - copy: 136528, iterate: 0, total: 136528
1 - copy: 264986, iterate: 0, total: 264986
1 - copy: 932, iterate: 0, total: 932
1 - copy: 371052, iterate: 0, total: 371052
1 - copy: 1171, iterate: 0, total: 1171
1 - copy: 252587, iterate: 0, total: 252587
1 - copy: 455, iterate: 0, total: 455
1 - copy: 263918, iterate: 0, total: 263918
1 - copy: 131906, iterate: 0, total: 131906
1 - copy: 1152, iterate: 0, total: 1152
1 - copy: 402668, iterate: 0, total: 402668
1 - copy: 1059, iterate: 0, total: 1059
1 - copy: 222819, iterate: 0, total: 222819
1 - copy: 148470, iterate: 0, total: 148470
1 - copy: 1016, iterate: 0, total: 1016
1 - copy: 953, iterate: 0, total: 953
1 - copy: 144317, iterate: 0, total: 144317
1 - copy: 359818, iterate: 0, total: 359818
1 - copy: 168553, iterate: 0, total: 168553
1 - copy: 130651, iterate: 0, total: 130651
1 - copy: 1000, iterate: 0, total: 1000
1 - copy: 139601, iterate: 0, total: 139601
1 - copy: 1031, iterate: 0, total: 1031
1 - copy: 329666, iterate: 0, total: 329666
1 - copy: 38428, iterate: 0, total: 38428
1 - copy: 197549, iterate: 0, total: 197549
1 - copy: 133294, iterate: 0, total: 133294
1 - copy: 1004, iterate: 0, total: 1004
1 - copy: 201629, iterate: 0, total: 201629
1 - copy: 88764, iterate: 0, total: 88764
1 - copy: 151045, iterate: 0, total: 151045
1 - copy: 936, iterate: 0, total: 936
1 - copy: 524, iterate: 0, total: 524
1 - copy: 253239, iterate: 0, total: 253239
1 - copy: 552, iterate: 0, total: 552
1 - copy: 133958, iterate: 0, total: 133958
1 - copy: 251019, iterate: 0, total: 251019
